Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
4926,5,0,0,0
4932,6,0,0,0
4938,6,0,0,0
4944,6,0,0,0
4950,4,0,0,0
4956,4,0,0,0
4962,4,0,0,0
4968,3,0,0,0
4974,4,0,0,0
4980,5,0,0,0
4986,6,0,0,0
4992,7,0,0,0
4998,7,0,0,0
5004,6,0,0,0
5010,6,0,0,0
5016,4,0,0,0
5022,4,0,0,0
5028,7,0,0,0
5034,7,0,0,0
5040,7,0,0,0
5046,7,0,0,0
5052,7,0,0,0
5058,7,0,0,0
5064,6,0,0,0
5070,5,0,0,0
5076,5,0,0,0
5082,6,0,0,0
5088,6,0,0,0
5094,6,0,0,0
5100,7,0,0,0
5106,6,0,0,0
5112,8,0,0,0
5118,8,0,0,0
5124,8,0,0,0
